SGD_test_err,SGD_training_err,SGD_training_loss
0.6254,0.7356,2.069340556602478
0.5154000000000001,0.5800799999999999,1.5610889726257324
0.44620000000000004,0.48294000000000004,1.3289065431594849
0.3702,0.40071999999999997,1.1147452815246581
0.32609999999999995,0.33953999999999995,0.9568408624076843
0.3135,0.28942,0.8303255460166931
0.3588,0.25558000000000003,0.7322374292755127
0.28580000000000005,0.23085999999999995,0.663027770652771
0.2509,0.21023999999999998,0.6061196356391907
0.22199999999999998,0.19932000000000005,0.5789164402103424
0.20279999999999998,0.18674000000000002,0.5432860061836242
0.21809999999999996,0.18030000000000002,0.52149719581604
0.23209999999999997,0.17337999999999998,0.49813673349380494
0.19220000000000004,0.1642,0.4855928552055359
0.19730000000000003,0.16069999999999995,0.4688722204208374
0.20699999999999996,0.15476,0.4532361858177185
0.19499999999999995,0.15164,0.4408062240982056
0.19230000000000003,0.14952,0.436129110622406
0.18720000000000003,0.14500000000000002,0.4244797906589508
0.17390000000000005,0.14173999999999998,0.4151932110309601
0.20940000000000003,0.14129999999999998,0.41097362091064454
0.18630000000000002,0.13876,0.403153805770874
0.1683,0.13805999999999996,0.4004993961906433
0.16200000000000003,0.13604000000000005,0.3954880690383911
0.16359999999999997,0.13566,0.3970923598766327
0.1773,0.13116000000000005,0.3819154980945587
0.23340000000000005,0.13070000000000004,0.38219847185134886
0.1502,0.12722,0.3735284669876099
0.1745,0.12505999999999995,0.36617628868103025
0.17190000000000005,0.12575999999999998,0.37073201990127563
0.1745,0.12446000000000002,0.36668143602371217
0.1855,0.12338000000000005,0.3625408011817932
0.22719999999999996,0.12463999999999997,0.36439316965103147
0.16010000000000002,0.12031999999999998,0.3557759927940369
0.1784,0.12009999999999998,0.3550884028053284
0.17469999999999997,0.12317999999999996,0.3544519538116455
0.16810000000000003,0.12143999999999999,0.3549732086658478
0.18059999999999998,0.12082000000000004,0.3507881842803955
0.18920000000000003,0.12043999999999999,0.35376398831367495
0.18979999999999997,0.11736000000000002,0.3446930153942108
0.17059999999999997,0.118,0.3465851710987091
0.15300000000000002,0.11672000000000005,0.34355899839401244
