Adam_test_err,Adam_training_err,Adam_training_loss
0.46619999999999995,0.5566800000000001,1.5087878754806519
0.356,0.3751,1.0501555213165283
0.35040000000000004,0.30818,0.8702409838867188
0.2875,0.25778,0.7431722372055054
0.22119999999999995,0.22543999999999997,0.653226907901764
0.2339,0.20321999999999996,0.5942141345310211
0.23370000000000002,0.18613999999999997,0.5443959775924683
0.20179999999999998,0.17215999999999998,0.5019660877799987
0.17769999999999997,0.16013999999999995,0.4684853583621979
0.19010000000000005,0.14998,0.4427743785953522
0.16900000000000004,0.14470000000000005,0.4234797900009155
0.17559999999999998,0.13660000000000005,0.39987007493019106
0.17700000000000005,0.13060000000000005,0.38756285866737367
0.17400000000000004,0.12651999999999997,0.3725942621803284
0.14890000000000003,0.12387999999999999,0.36140619598388674
0.1362,0.11846000000000001,0.3519119229888916
0.1451,0.11656,0.34202862180709837
0.13280000000000003,0.11197999999999997,0.3295428847694397
0.13649999999999995,0.10982000000000003,0.32063509919166566
0.14429999999999998,0.10850000000000004,0.31570338168144224
0.136,0.10509999999999997,0.30763802525520323
0.1411,0.10285999999999995,0.29825231127738955
0.12980000000000003,0.10043999999999997,0.2978585675430298
0.1361,0.10077999999999998,0.2953865082359314
0.1351,0.09867999999999999,0.2884492426872253
0.13070000000000004,0.09719999999999995,0.28227412224769594
0.12409999999999999,0.09563999999999995,0.28051994943618774
0.12060000000000004,0.09430000000000005,0.2751968054866791
0.12309999999999999,0.09348000000000001,0.27392470754146575
0.13339999999999996,0.09021999999999997,0.26647077062129976
0.1652,0.09209999999999996,0.26893730598449705
0.11460000000000004,0.09021999999999997,0.26037662895202635
0.11709999999999998,0.09184000000000003,0.2687442998790741
0.13180000000000003,0.0897,0.26055166205883024
0.11499999999999999,0.08782000000000001,0.2592354347610474
0.128,0.08662000000000003,0.2527945710515976
0.11339999999999995,0.08521999999999996,0.2473458080101013
0.11519999999999997,0.08494000000000002,0.2498062370109558
0.11639999999999995,0.0847,0.25022426365375516
0.11929999999999996,0.08423999999999998,0.24414074851036072
0.11480000000000001,0.08287999999999995,0.24312865170955658
0.12770000000000004,0.08221999999999996,0.24065826585769654
0.11219999999999997,0.08098000000000005,0.23858136867523194
0.13329999999999997,0.08184000000000002,0.2359051041698456
0.11839999999999995,0.08433999999999997,0.2419218936777115
0.11240000000000006,0.07964000000000004,0.2350543089389801
0.10519999999999996,0.08218000000000003,0.2386167314004898
